,Salary,Designation,JobCity,Gender,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeState,GraduationYear,English,Logical,Quant,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,EXPERIENCE,AGE
0,420000,senior quality engineer,BANGALORE,f,84.3,"board ofsecondary education,ap",2007,95.8,"board of intermediate education,ap",1141,2,B.Tech/B.E.,computer engineering,78.0,Andhra Pradesh,2011,515,585,525,0.9737,0.8128,0.5269,1.3549,-0.4455,3,25
1,500000,assistant manager,INDORE,m,85.4,cbse,2007,85.0,cbse,5807,2,B.Tech/B.E.,electronics and communication engineering,70.06,Madhya Pradesh,2012,695,610,780,-0.7335,0.3789,1.2396,-0.1076,0.8637,2,26
2,325000,system engineer,CHENNAI,f,85.0,cbse,2010,68.2,cbse,64,2,B.Tech/B.E.,information technology,70.0,Uttar Pradesh,2014,615,545,370,0.2718,1.7109,0.1637,-0.8682,0.6721,1,23
3,1100000,senior software engineer,GURGAON,m,85.6,cbse,2007,83.6,cbse,6920,1,B.Tech/B.E.,computer engineering,74.64,Delhi,2011,635,585,625,0.0464,0.3448,-0.344,-0.4078,-0.9194,4,26
5,300000,system engineer,HYDERABAD,m,89.92,state board,2010,87.0,state board,5086,2,B.Tech/B.E.,electronics and communication engineering,76.32,Karnataka,2014,560,555,620,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,1,23
6,300000,java software engineer,BANGALORE,m,86.08,state board,2010,67.5,state board,314,2,B.Tech/B.E.,computer science & engineering,72.98,Karnataka,2014,590,435,380,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,1,22
7,400000,mechanical engineer,BANGALORE,m,92.0,cbse,2010,91.0,cbse,1757,1,B.Tech/B.E.,mechanical engineering,8.58,Tamil Nadu,2016,545,555,590,-0.0154,1.2114,0.01,0.1459,1.247,1,23
8,600000,electrical engineer,NOIDA,m,90.0,cbse,2009,91.2,cbse,13,1,B.Tech/B.E.,electronics and electrical engineering,85.03,Delhi,2013,615,670,530,-0.159,0.5454,-0.6048,-0.7415,-0.2859,2,24
9,230000,project engineer,KOLKATA,m,77.0,cbse,2010,72.2,cbse,8640,2,B.Tech/B.E.,electronics and communication engineering,78.0,West Bengal,2014,605,565,545,-1.308,0.5454,-0.9122,0.9066,0.0973,1,22
10,600000,senior php developer,BANGALORE,m,88.6,mp board bhopal,2006,83.7,mp board,403,2,B.Tech/B.E.,computer engineering,74.9,Madhya Pradesh,2010,565,455,565,0.0464,0.8128,0.0914,0.1798,0.0284,4,26
11,450000,senior system engineer,PUNE,m,81.0,cbse,2007,86.0,cbse,4441,1,B.Tech/B.E.,information technology,72.29,Madhya Pradesh,2011,495,605,715,-2.272,1.1248,0.8171,-0.4078,-0.4455,3,25
12,270000,quality assurance engineer,PUNE,m,83.6,state board,2008,69.83,state board,2665,2,B.Tech/B.E.,electronics & telecommunications,60.0,Maharashtra,2013,380,580,470,0.1282,0.5454,-0.7585,-0.995,0.8637,2,25
13,200000,quality analyst,GURGAON,m,60.8,cbse,2008,62.4,cbse,5232,2,B.Tech/B.E.,electronics and communication engineering,60.0,Haryana,2012,495,425,645,0.3555,0.0328,-0.598,-0.2902,-1.2354,1,25
14,300000,java software engineer,BANGALORE,m,81.2,state board,2008,79.9,state board,64,2,B.Tech/B.E.,instrumentation and control engineering,67.67,Uttar Pradesh,2013,395,565,645,0.7027,0.7119,0.01,-0.995,0.6721,2,23
15,350000,network engineer,UNKNOWN,f,69.54,icse,2008,64.43,isc,4501,2,B.Tech/B.E.,information technology,63.0,Uttar Pradesh,2012,485,520,355,1.7465,1.9048,0.672,-0.2902,1.2528,2,25
16,325000,product development engineer,NOIDA,m,85.8,cbse,2010,74.8,cbse,13473,2,B.Tech/B.E.,electronics and communication engineering,64.8,Uttar Pradesh,2014,685,530,620,1.1336,1.0449,0.7785,-0.6147,-0.8608,1,23
17,250000,associate software developer,GURGAON,m,60.8,cbse,2006,66.66,cbse,41,2,MCA,computer application,74.74,Delhi,2013,465,585,515,0.8463,1.0449,-1.0659,-1.6289,0.6721,1,28
18,120000,data entry operator,GURGAON,m,65.0,state board,2008,64.8,icse,184,2,B.Tech/B.E.,computer science & engineering,69.54,Uttar Pradesh,2013,465,495,515,-0.159,0.3789,1.3933,-0.2344,1.4386,0,23
19,325000,software engineer,PUNE,f,79.0,cbse,2008,62.2,cbse,7977,2,B.Tech/B.E.,computer engineering,76.3,Uttar Pradesh,2012,485,445,435,0.8192,0.2668,-0.2714,-0.4078,-0.1295,1,25
20,320000,software engineer,BANGALORE,f,91.2,karnataka secondary school of examination,2006,84.63,karnataka pre university board,4437,2,B.Tech/B.E.,computer engineering,78.15,Karnataka,2010,455,535,445,-0.1082,0.9688,0.5269,-0.2902,0.3444,2,27
21,200000,software engineer,UNKNOWN,f,75.67,up,2007,74.4,up,11368,2,B.Tech/B.E.,information technology,74.01,Uttar Pradesh,2012,385,555,445,-1.0355,-0.5913,-1.3599,0.0622299999999999,-1.3539,1,24
22,190000,developer,HYDERABAD,m,92.5,state board,2009,95.2,state board,8232,2,B.Tech/B.E.,electronics and communication engineering,76.0,Telangana,2013,395,455,485,-0.4463,-0.6201,-0.6048,0.7798,-2.7769,2,23
23,180000,electrical project engineer,BANGALORE,m,70.0,state board,2006,43.42,"p u board, karnataka",11388,2,B.Tech/B.E.,electronics and communication engineering,55.52,Karnataka,2014,370,360,270,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763,1,29
24,335000,programmer analyst,HYDERABAD,m,88.0,state board,2010,90.0,state board,9173,2,B.Tech/B.E.,computer science & engineering,76.0,Telangana,2014,625,555,630,0.4155,0.8027,0.1357,-0.995,-0.6692,1,22
25,435000,systems analyst,GURGAON,f,86.8,cbse,2008,82.8,cbse,9019,2,B.Tech/B.E.,computer science & engineering,78.0,Haryana,2012,575,585,575,0.0464,1.2028,-0.9245,0.5323,-0.2875,3,24
26,345000,senior software engineer,BANGALORE,m,90.88,karnataka state education examination board,2006,82.5,dept of pre-university education,124,2,B.Tech/B.E.,computer engineering,66.15,Orissa,2010,415,335,405,0.8192,0.1888,-1.7954,1.8249,1.1343,2,27
27,300000,associate software engineer,BANGALORE,m,76.8,state board,2009,83.0,state board,64,2,B.Tech/B.E.,electronics and communication engineering,76.44,Uttar Pradesh,2014,535,510,605,0.99,1.3779,0.7785,-0.2344,-0.6692,1,22
